S.Code,WQI clf,WQI_pred,latitude,longitude
1001,2,44.13547844,32.237794,77.190564
1002,1,53.07795982,31.963639,77.116392
1003,2,41.29699196,31.740194,77.207533
1004,2,39.77319799,31.669367,77.064236
1005,2,40.52180894,31.422647,76.812947
1550,2,44.60921543,31.705853,76.934903
1006,0,79.73450669,31.712408,76.933089
1007,2,45.00749053,31.83865,76.505144
1008,2,42.47828635,31.878094,76.203311
1009,1,55.35635344,31.935022,76.053444
1693,2,42.02172949,31.989016,75.832499
1694,2,49.26425896,32.111503,75.663325
1695,2,49.9382077,32.093633,75.609725
1010,2,49.57390544,32.097933,75.611474
1294,1,52.3926107,31.923867,75.541467
1011,1,52.95025258,31.51012,75.304936
1696,1,56.41633343,31.385361,75.176625
1012,1,55.90145998,31.374996,75.162691
1697,1,54.5190013,31.508844,75.307539
1867,2,46.17177362,31.804453,78.643214
1389,2,44.2282484,31.859386,77.165125
1086,2,43.06585782,31.448039,77.628283
1087,2,47.24705335,31.432236,77.622567
1013,2,43.34060931,31.247458,77.088208
1014,2,44.63905733,31.421014,76.837836
1015,2,45.674649,31.412833,76.874881
1016,2,43.68366768,31.425772,76.421883
1017,2,40.23020315,31.380831,76.367228
1018,2,49.61276704,31.375996,76.364695
1293,1,67.46940901,30.984964,76.4672
1019,1,51.60501201,31.379027,76.372115
1380,1,52.26984414,31.356053,76.372837
1690,0,82.10635866,30.922369,75.919469
1020,0,429.1133091,30.975026,75.608293
1021,0,202.3403513,30.99775,75.371988
1381,0,126.7772628,31.01532,75.715315
1691,1,66.33731855,30.995289,74.552492
1692,1,69.0798711,30.99008,74.54847
1022,0,75.80328513,31.139816,74.936455
1089,2,39.16830492,32.555144,76.121039
1088,2,44.72176724,32.492399,76.176291
1097,1,51.41233787,32.372983,75.61039
1290,2,48.37414553,31.896167,77.147692
1090,2,36.30378563,31.701264,77.169233
1551,2,49.2373257,30.919003,76.806214
1552,1,56.83289391,30.915403,76.791131
1868,1,61.89885871,30.998567,76.738231
1869,1,68.2494609,31.365081,76.306519
1491,0,50.17760531,30.946033,78.688498
1484,0,903.7476212,30.287506,78.985451
1485,0,547.5349358,30.290028,78.979932
1486,0,403.7017503,30.285854,78.978295
1487,0,553.7073107,30.144753,78.601484
1488,0,107.8387448,30.147103,78.598107
1489,0,495.9642676,30.140504,78.597358
1060,1,53.16986009,30.115135,78.307032
1061,0,82.60765013,29.945254,78.164675
1062,0,97.44199004,28.76062,78.143766
1145,0,97.03255989,28.1897,78.395878
1063,0,166.7219227,27.138451,79.930775
1066,0,159.5391086,27.010953,79.986442
1146,0,157.0018726,26.610906,80.275419
1067,0,156.5947599,26.505542,80.314344
1068,0,526.8924098,26.436185,80.40961
1147,0,178.8448537,26.074386,81.024075
1046,0,136.9284417,25.502474,81.855439
1049,0,206.2910167,25.419206,81.900522
1070,0,338.1513833,25.289358,83.006389
1071,0,1841.21671,25.321486,83.035285
1073,0,585.6401853,25.578175,83.609594
1074,0,160.7899375,25.573508,83.966669
1077,0,181.0122839,25.650869,85.115085
1079,0,404.2175181,25.613753,85.204131
1817,0,188.4142852,25.401104,85.923198
1815,0,389.0946358,25.381441,85.987169
1818,0,164.5470678,25.384978,86.458978
1819,0,201.1230695,25.254387,86.948424
1816,0,208.5595895,25.267334,87.227318
1080,0,720.2804392,24.100312,88.244054
1472,0,1485.066182,22.761306,88.340319
1053,0,6486.915614,22.653061,88.357589
1471,0,2334.325743,22.558292,88.324394
1470,0,4132.081342,22.549717,88.296125
1052,0,922.4113063,22.453473,88.115051
1054,0,1590.271003,22.780189,88.3338
1469,0,327.5473351,22.183383,88.193783
1492,0,82.07466209,30.976465,78.438614
1493,0,617.2052415,30.932423,78.400244
1494,0,1255.272176,30.518822,77.949536
1490,0,2624.063,30.498618,77.803498
1553,0,915.2156532,30.392244,77.572103
1554,0,100.855925,30.465256,77.661758
1117,0,699.6797284,30.314987,77.583328
1496,0,1725.810209,30.069997,77.355057
1119,0,3701.96259,29.002116,77.023752
1120,0,503.7176805,28.85018,77.210184
1123,0,4714.280626,27.564981,77.708718
1124,0,7650.598461,27.443052,77.716133
1125,0,4953.432993,27.250657,77.861624
1498,0,2156.625173,26.932682,78.54366
1127,0,2090.632768,26.752436,79.01967
1499,0,4656.725685,26.42602,79.478799
2283,0,1326.422528,25.956967,80.157122
1069,0,123.5062237,25.422471,81.838806
1065,0,163.3572099,27.161314,79.919914
1477,0,3478.399348,29.474581,77.67095
1064,0,176.7602646,27.190822,79.818261
1350,1,70.94676402,27.572878,80.67895
1351,0,112.0457069,26.862031,80.931322
1352,0,1741.5464,26.833275,80.995211
1072,0,477.6828184,25.507856,83.158181
1353,0,586.6072563,25.751611,82.726469
1361,0,85.07584215,26.649979,80.793854
1354,0,151.0257468,26.797519,82.234306
1076,0,77.55473829,25.771153,84.654639
1483,0,6050.031562,28.635922,77.394341
1358,0,2958.50071,28.673761,77.402644
1359,0,97.42924748,24.339814,83.003589
1360,0,115.2808184,24.261214,83.009353
1078,1,72.8371255,25.675279,85.189845
1821,0,90.15022742,26.222639,84.354122
1824,0,86.04878301,26.399461,87.242477
2119,0,89.73613145,23.070703,77.536902
2121,1,71.29452355,23.141901,77.615943
2122,1,56.8755726,23.333714,77.778319
1614,1,60.26734742,23.541173,77.801938
2124,1,63.8112485,23.540606,77.802246
2125,1,65.48106344,23.550512,77.79947
1356,1,73.83826961,25.94085,80.153822
2120,1,73.678612,23.110272,77.508595
1365,0,77.06760427,22.428806,75.508689
1366,1,68.69068943,22.428791,75.508684
1418,1,70.62129984,24.699027,75.551954
1288,1,72.62936769,25.141518,75.794083
1289,0,93.95326606,25.268768,75.906611
1609,1,63.13359581,26.660536,77.904557
1413,1,72.89786367,25.864446,76.574623
1376,0,346.6301824,26.544188,79.089502
1510,0,1889.063838,30.556089,77.777152
1607,1,57.22770886,26.429359,78.430415
1613,1,54.81971065,22.960571,77.346276
1369,0,120.2618838,23.187353,75.764282
1370,0,104.0119105,22.97582,75.917157
1468,0,135.6911097,23.211447,75.774618
1615,1,55.16885495,23.503227,77.133531
1433,1,57.1215972,26.226494,77.995516
1608,1,64.38090716,25.888006,78.337099
1075,0,78.78976511,25.5753,84.798144
1763,0,389.4078171,23.404606,88.709745
1764,0,524.3507858,23.177966,88.558164
1823,0,87.8837783,26.410836,86.237178
1735,1,67.26543531,24.651228,78.423136
2382,2,49.50099474,23.761172,86.011903
2383,1,60.46869551,23.700981,86.372953
2384,1,60.91545299,23.643092,86.464492
2391,1,52.75204232,23.681006,86.751872
1331,0,282.0655923,23.685031,86.823472
1332,0,297.7734231,23.646961,86.897068
1333,0,242.843848,23.584399,87.103495
1334,0,764.4323935,23.429785,87.364995
1335,0,3528.618794,22.066481,88.068869
1336,0,647.225923,23.721689,86.801628
1337,0,1546.999244,22.21835,88.024305
1946,0,1551.66834,26.739728,88.422452
2396,0,75.51253338,23.455233,85.310539
2381,1,65.58857148,23.770609,85.922067
2390,2,47.62080662,23.780586,85.876131
1260,1,53.24436487,27.687681,95.297822
1030,1,55.38155181,27.510417,94.953333
1262,1,64.33544894,26.830744,94.172775
1526,1,62.96954751,26.616375,92.82735
1031,0,142.8791481,26.176,91.68375
1299,1,71.08821658,26.214866,90.557934
2069,0,105.4804241,26.190372,91.745589
2064,1,62.48391596,26.24776,91.918205
2067,1,54.98044147,26.160268,91.56994
2066,1,68.88209675,26.015519,89.993294
1796,1,67.63971288,25.888505,93.733632
1799,1,64.76361505,26.622872,93.773159
1797,1,60.53585208,25.912708,93.743269
1800,1,73.66637257,25.802,93.606574
1798,1,66.17405733,25.910359,93.743963
1259,1,63.01200588,26.503075,93.952372
1928,1,58.62791538,25.801511,93.606777
1930,0,75.99015509,25.67564,94.109775
1929,1,63.20079428,25.752349,93.869559
1261,2,42.85545368,27.510417,94.953333
2061,2,49.51945699,27.411803,95.985028
1422,1,52.17548013,27.284622,95.662347
2062,1,56.15385308,27.321156,95.309064
2230,1,70.48610347,27.320585,95.308605
2065,1,62.5720413,26.447389,91.460667
1530,1,54.53452536,27.381964,95.622819
2063,2,44.34780649,26.759281,92.858803
2237,0,79.95285069,26.349206,92.68035
2059,1,73.36878903,26.265026,92.264751
2060,1,68.33172794,26.496268,90.652663
2058,1,52.20092474,27.141901,95.36639
1298,1,62.71909626,27.311023,95.101786
1258,0,50.08231929,26.846906,94.492244
1527,1,63.98802615,26.781058,94.208548
1531,1,55.70927539,26.848745,92.840375
1423,1,66.76710058,24.8674,92.600817
1528,0,421.0172683,26.167661,91.765289
1529,0,76.77956754,26.119297,91.647713
2068,0,81.35631086,24.648536,92.608089
1801,2,36.02785305,27.601903,88.646449
1807,2,42.27884967,27.136928,88.392222
1808,2,43.50090392,27.531575,88.515094
1809,2,42.40505286,27.532972,88.512217
1947,0,841.8727645,26.902782,88.47309
1802,2,36.65079442,27.402553,88.519402
1803,2,34.49292521,27.38805,88.622663
1804,2,36.16201215,27.309928,88.583236
1805,2,35.16643391,27.292886,88.590303
1806,2,36.07473722,27.136739,88.396831
2229,1,60.52827538,27.832518,95.672347
2231,1,56.38623119,26.975605,94.630335
2232,2,48.37733858,26.602234,93.403253
2233,2,46.67751018,27.358877,94.181102
2234,2,47.70752058,27.342717,93.816486
2235,2,48.97897987,26.699918,92.335305
2236,1,51.39486334,26.165759,92.353897
2238,2,46.08324788,26.493169,90.917841
2239,1,51.24517054,26.311379,89.831334
2240,1,52.39291037,24.786736,92.813553
2241,2,48.15319305,24.735544,92.889269
2242,2,46.27237344,24.870906,92.376439
1233,1,55.70579255,23.031056,75.210878
1232,1,70.99150206,23.648483,74.126708
1230,1,69.67654645,23.324822,73.9021
1229,1,68.01921279,23.285842,73.831736
1863,0,80.2272167,22.342298,73.052575
1864,1,74.72132637,22.254744,72.982618
1231,1,65.56257091,23.152072,73.551372
4,1,64.65562063,22.81225,73.359778
5,0,78.93852584,22.4405,73.073361
1227,1,73.68228362,23.055164,73.716378
1228,0,82.53884257,22.846264,74.291789
2102,1,74.35118258,24.05703,75.074378
2103,0,75.27073757,23.330385,75.034646
2104,0,76.58236184,23.639659,75.126136
2105,1,66.41595953,23.396067,76.291283
1866,0,78.16870935,23.090926,72.629239
1221,0,146.1719221,24.22986,73.005317
1482,0,88.31750903,23.496903,72.796265
1,0,81.90509164,24.004528,72.853278
2,0,294.5637113,22.982611,72.543139
1409,0,112.577934,23.06353,72.589064
1408,0,314.1798387,23.031314,72.575114
1222,0,123.1793958,22.739321,72.679059
1437,0,442.2223637,22.868749,72.627351
1241,1,60.30377968,22.598638,80.371449
44,0,78.43829444,22.762685,77.71649
1240,1,65.51086143,22.948622,79.190171
1234,1,60.27370589,22.756614,77.690036
2123,1,69.24175196,22.761672,77.7185
1235,1,69.17293463,22.756584,77.687182
2106,1,70.32229227,22.496589,76.980555
2113,1,52.55796381,22.283823,76.471463
1430,1,59.21369343,22.243694,76.150756
2112,1,54.4617983,22.226413,76.045534
2099,1,58.28056275,23.124913,79.774671
45,1,52.96625624,22.177393,75.659194
1431,1,55.64122109,22.169213,75.583684
1239,1,53.7453725,22.037618,74.901793
7,1,61.74129505,21.887833,73.645444
1245,1,61.13231227,21.983722,73.456331
1244,1,57.10621733,21.950608,73.584697
1243,1,68.74899835,21.665906,72.916681
1981,2,48.99897733,21.714997,73.042891
1236,1,52.13188875,22.562555,77.978245
2114,1,73.0010688,22.168429,75.723814
2100,1,60.16242751,23.117239,79.99781
2101,1,62.78516896,23.899675,80.512005
9,2,49.43307352,21.4345,76.436556
2115,1,54.5820031,21.435417,76.436112
10,1,55.02701568,21.286389,76.222361
1250,1,57.57900051,21.264413,76.190181
1313,0,136.8849962,21.24294,76.034146
1251,0,119.9949848,21.047772,75.786357
1314,0,118.1804537,21.546291,74.466807
46,0,247.0055482,21.259844,73.565783
1247,0,1102.062709,21.247908,73.301033
47,0,1263.852083,21.284075,72.952236
1248,0,510.7346288,21.2855,72.935483
1982,0,181.9564585,21.194545,72.811552
1983,0,156.6528734,21.221618,73.170007
2071,0,376.777478,21.148919,72.743684
1253,0,107.8734254,20.559014,74.508394
1252,0,121.2677702,20.674774,75.22279
1907,0,115.5471094,21.161624,73.793751
2070,0,314.5523753,21.461094,72.726327
2127,0,80.27782773,22.124707,78.03034
2155,0,122.9183948,20.88237,76.856618
1851,1,72.20157577,20.308614,81.917614
1264,1,68.09961219,20.652037,81.551365
1099,1,71.65951304,20.969822,81.876732
1852,1,74.01740338,21.15025,82.002864
1100,1,61.12280462,21.730837,82.565689
1282,1,70.85228047,21.728709,82.568814
1467,1,58.46167522,21.695876,83.2426
1101,1,64.60853744,21.665195,83.433435
1281,0,85.42384935,21.516358,83.851139
1270,0,85.92705908,21.455443,83.960359
1271,0,905.5770207,21.460108,83.969058
1272,0,75.80649986,20.865096,83.91172
1274,0,91.58450778,20.855331,83.904147
1275,0,89.68134084,20.612579,84.790163
1276,1,63.0282209,20.463775,85.083179
1277,0,76.53021358,20.490062,85.895865
1278,0,267.6329644,20.48147,85.893506
1639,0,90.35235137,20.268444,86.6548
1107,1,54.41773914,21.038264,80.973647
1845,1,53.93489028,21.189994,81.280092
1266,0,75.15734139,21.618808,81.695639
1265,1,70.62739606,21.248011,81.542917
1847,1,52.56772028,21.200022,81.237472
1846,1,55.23611989,21.179853,81.2545
1853,0,75.28729188,21.105793,81.579948
1105,1,59.77399636,22.380472,82.708433
1106,1,65.45506382,22.048233,82.634978
1848,1,65.83064113,22.069453,82.190639
1849,1,60.71323554,21.914789,83.404678
1850,1,67.22672893,21.911203,83.407498
1267,1,73.87032945,22.124146,84.043157
1268,0,86.36981662,21.856425,84.002419
1300,0,76.07620237,21.863911,83.947739
1269,0,88.59555985,21.828126,83.941121
1279,0,79.78239866,20.297906,85.882365
1280,0,235.1696546,20.297755,85.880734
1301,0,1627.31243,20.444394,85.890897
1640,0,100.1840503,20.546532,85.91187
1037,0,81.91036886,22.228669,84.803932
1038,0,287.0984675,20.697347,85.747603
1302,0,194.3249257,22.182883,84.847889
1039,0,93.69329276,21.820606,84.9516
1040,1,72.08138152,21.276098,85.035007
1041,0,75.60250481,21.074527,85.142032
1303,0,89.09387981,20.949817,85.216631
1042,0,180.4493628,20.867785,85.278472
1043,0,89.78345695,20.879162,85.835492
1044,0,90.18139578,20.770422,86.149638
1045,0,86.13923545,20.585906,86.568249
1033,1,59.18757688,22.865836,84.809988
2376,1,51.76533204,23.98785,84.087925
2377,0,50.31231229,24.249494,83.855053
1035,1,55.53538598,22.833734,85.130562
1034,1,66.39219891,22.460644,84.331716
1081,0,78.68890183,22.018734,85.406998
1082,0,101.5350252,21.214851,86.121323
1083,0,108.292829,20.851312,86.33016
1084,0,98.59237745,20.774033,86.744211
1641,0,88.70759425,21.770058,87.156229
2397,2,49.21217919,23.454046,85.471177
23,0,96.01022603,23.377028,85.423056
2386,2,46.48145128,23.368919,85.875506
2385,0,91.22688633,23.33402,85.359996
1762,1,62.43421595,22.222214,86.70885
2395,2,39.65919255,23.2907,85.255961
1312,0,89.67184096,19.485317,75.370099
2177,0,116.8922967,20.022812,73.728178
2182,0,114.4535979,20.014695,74.007463
2179,0,115.2203764,20.008887,73.783052
2183,0,90.38948919,20.012385,74.113719
2181,0,140.7637079,19.98729,73.811026
2180,0,154.1310755,19.987307,73.811028
1096,0,108.0853961,20.008676,73.792361
1211,0,133.0962245,20.001568,73.795314
1095,0,91.87230805,20.048123,73.679809
2160,0,85.48759455,19.63253,75.028605
2158,0,93.20527196,19.478228,75.384879
2159,0,91.43324946,19.467269,75.397267
2161,0,85.98286158,19.360024,75.709583
12,0,88.52569581,19.226068,76.367013
1210,0,89.75141101,19.113106,77.288242
1209,0,85.63587116,18.85443,77.527475
2360,0,79.61181965,18.868297,77.962194
2361,1,64.82215799,18.838133,79.441697
2362,1,74.29925832,18.819131,79.468017
2363,0,79.51613198,18.781656,79.513558
2364,1,69.18738946,18.786369,79.521028
2356,1,64.88239689,18.727075,79.620161
2365,1,62.37554401,18.288014,80.492375
2366,1,60.24128331,18.263814,80.538533
13,1,65.8663203,18.850151,79.442839
2367,1,56.20089431,17.674897,80.883094
2368,0,81.67255216,17.655586,80.876653
2369,1,63.6635295,17.648483,80.8775
2370,1,59.89072856,17.023186,81.768181
14,1,55.34081547,17.247331,81.646613
1218,1,56.16095724,17.069466,81.711134
2371,1,58.32846962,16.958989,81.78175
1219,1,72.61076175,17.007975,81.763328
1854,1,55.61867334,18.900033,81.344044
1855,1,57.35980423,18.731275,80.278886
1856,1,53.06997815,18.888807,81.370074
2374,0,82.03375449,17.64797,78.143382
2375,0,126.2058736,17.650778,78.134958
1781,0,78.63829002,17.649043,78.118479
1891,0,81.17090646,17.951522,77.649047
1215,0,85.9173395,17.974814,79.898686
1158,1,64.44478607,18.369532,79.626751
2174,0,125.5402342,19.922574,79.113955
2156,0,112.6200085,20.062424,78.956456
1212,0,141.79173,19.77611,79.354942
1213,1,64.64505736,21.802913,80.157861
1214,1,63.83689104,21.804398,80.157483
1910,0,133.2246124,19.731126,79.776401
2173,0,119.0580049,21.380729,79.745477
2172,0,130.3012523,21.380853,79.745595
2175,0,118.4593962,20.609867,79.857681
2176,0,148.1851214,20.610126,79.858051
11,0,114.4900831,19.715385,79.685289
1908,0,118.2174536,21.246917,79.153882
1909,0,129.5786469,21.087098,79.474422
2170,0,104.0754958,21.206788,79.246193
2171,0,127.1549617,21.209724,79.236711
1913,0,142.6332567,20.933469,76.276878
1315,0,131.5825481,20.726241,78.31758
1157,0,79.10075199,17.48468,79.107452
2373,1,61.66355031,17.616333,81.286295
1906,1,55.14976421,17.029275,74.380064
1153,1,63.47111378,16.657053,73.521386
2187,0,141.904159,17.688548,74.063324
2188,0,154.253578,17.688252,74.063303
2190,0,148.4331031,17.949284,73.891316
1194,0,117.5311417,17.981764,73.795456
36,0,134.1800185,17.295256,74.188776
1310,1,59.38009281,16.681396,74.590278
37,1,53.30172049,16.824045,74.64951
1182,0,85.87050275,16.640864,74.821308
1889,0,80.1738342,16.5575,74.679717
1181,1,70.5429198,16.242436,76.370678
1028,1,72.73130932,16.369172,76.656647
1170,0,95.33670972,16.380508,77.362725
1784,0,81.02396621,16.424222,77.278883
39,0,77.74520965,16.338826,77.610192
1175,0,76.93515206,16.001874,78.364986
1465,0,83.70155113,16.694675,79.689933
1786,1,61.7233321,16.801875,80.129553
1787,1,66.77085244,16.582608,80.343451
25,1,62.49772288,16.492476,80.640839
1782,1,63.80184873,16.000123,81.079082
1311,1,59.38414107,16.746155,74.445716
2163,1,60.83146028,16.721492,74.594819
1904,1,61.41821363,16.688467,74.169462
1905,1,66.96959314,16.695477,74.274998
1189,0,270.6732718,18.481871,73.829569
1190,0,348.3746486,18.54325,73.885036
1191,0,150.4045218,18.560303,74.37332
1192,0,144.1370314,18.464553,74.583576
1188,0,140.8711484,17.985845,75.116249
28,0,152.9085708,17.703734,75.544604
1183,0,248.4031039,17.179219,76.566603
1184,0,328.4195568,17.069328,76.794283
1888,0,194.5752685,17.043481,76.814478
1167,0,111.3981884,16.7341,77.130744
1185,1,74.41492923,16.328103,75.268333
1163,0,80.8522358,16.174961,74.822508
1187,0,81.17396212,15.633431,74.510322
1164,1,65.48263749,15.797983,75.191492
1186,0,80.6550345,16.009319,75.878022
2195,0,184.7880791,18.103405,74.234805
1463,0,133.0198636,18.172703,73.953644
2186,0,123.9258877,17.732719,73.991512
2189,0,185.1989994,17.278589,74.183705
2194,0,264.2193337,18.5746,73.836055
2193,0,269.2708379,18.567737,73.811752
2192,0,257.1263348,18.535371,73.933306
2191,0,315.1623665,18.532374,73.843415
2196,0,251.1234601,18.670292,73.681639
2197,0,206.916531,18.682216,73.900116
38,1,68.89011151,14.236122,75.659356
1029,1,68.12268827,14.325397,75.771092
29,0,470.539405,15.494844,76.692417
1785,0,79.57582365,15.944453,77.419709
1174,0,78.03745707,15.8483,78.034942
1168,1,58.86621535,13.926464,75.583336
1896,1,72.10745851,14.011333,75.676667
1091,1,58.08550987,13.003125,77.565306
1387,0,92.54493656,13.832272,75.713164
1169,0,76.44207638,13.989311,75.683736
1172,1,67.20695511,17.370422,78.472561
1173,0,189.3453488,17.370097,78.469786
2339,0,211.8088229,17.382722,78.557775
1178,1,60.46407638,16.951698,80.048401
1177,1,62.79210494,16.670823,80.297751
1911,0,139.4620015,17.724868,75.323936
1912,0,147.1816422,17.677706,75.339011
1895,0,184.7252372,17.107483,76.955311
2350,0,80.87909758,15.819061,78.056866
2351,0,84.54361251,15.49,78.4748
2372,1,66.41520594,17.224489,80.127061
1255,0,79.20420217,14.150574,77.822711
1256,0,82.23129787,14.572795,78.79715
1257,1,63.6322203,14.481442,79.290142
30,1,69.64871393,14.464393,78.964627
1198,1,61.24254545,12.314149,75.698522
1195,1,60.19793502,12.448489,75.96987
33,1,68.99514785,12.425291,76.57265
1386,1,67.01185766,12.418187,76.679259
1171,0,77.5644966,12.423705,76.693672
34,1,66.26117182,12.25531,77.163515
50,1,73.72834935,11.796255,77.806971
1322,0,76.06128402,11.445663,77.677626
51,0,87.5843638,11.368215,77.741107
1320,0,120.4669662,11.335795,77.753762
1323,1,69.39081228,11.18,78.01
1324,1,67.31356582,11.064392,78.120358
1451,1,63.47159786,11.050024,78.120645
31,1,65.25996833,10.955345,78.443949
1202,1,65.21076372,10.833263,78.718224
1325,1,72.14156184,10.766809,78.665272
1203,0,89.21055716,10.830327,78.81177
1206,0,75.35270373,11.34,79.24
1326,1,72.11729158,11.326822,79.702981
1327,0,87.3670706,11.418828,79.772375
1893,1,64.22848408,13.006814,76.099553
1199,1,69.61976249,12.809694,76.205642
1200,1,71.89714155,12.979108,76.851622
1166,1,71.6671938,12.422764,77.226144
1165,0,75.7429704,12.535417,77.424792
1196,0,121.5036349,12.302189,76.286164
1207,2,45.39283596,11.697858,76.397006
1197,1,64.15541981,12.019853,76.388075
41,1,70.80055839,12.166761,76.792908
1445,0,75.30121089,12.128439,76.683919
1208,2,47.41168696,11.197053,76.722381
1201,1,54.39344458,11.469259,77.296165
1204,1,51.72057673,11.319948,77.011429
1321,1,63.8461172,11.485294,77.134603
1319,1,59.6633183,10.541244,77.368656
1205,1,70.66748372,11.454094,77.679567
1393,1,65.44127099,0.0,0.0
1150,1,52.47209159,20.358825,72.881708
1246,0,142.139464,20.371433,72.881108
1860,0,1531.242045,21.223442,72.89572
1861,0,730.834849,20.980464,73.016757
1862,0,443.1035964,20.756033,73.066786
1865,0,147.6712023,22.023279,70.368724
1148,0,801.1038231,20.772106,72.951625
1149,0,127.3344828,20.461511,72.886556
1435,0,98.3127765,20.342461,72.905403
1438,0,3524.421726,21.111549,73.111601
1436,0,91.29098098,21.763115,70.424313
2072,0,214.5030515,22.715528,71.672688
1399,1,72.52527392,15.2715,74.08885
1475,1,54.36981538,15.281044,74.071108
1476,0,88.38798212,15.550258,73.949164
1400,1,64.58766855,15.499719,73.834744
1543,1,52.69805504,15.74629,73.899494
1544,1,66.85290604,15.561455,73.990584
1545,1,55.74246587,15.536364,74.148515
2270,1,73.68753804,15.410589,74.054325
1546,1,54.30490707,15.466425,74.038825
1547,1,53.18735535,14.98929,74.04736
1548,1,58.50778635,15.615148,73.900658
2271,1,64.15992056,15.188883,73.995911
2272,0,81.63818153,15.232069,74.149461
2274,1,71.40618275,15.608275,73.836869
2275,1,65.07545226,15.700331,73.904347
2276,0,91.34737694,15.590815,73.952907
1093,0,86.54122627,19.245652,73.156487
1094,0,82.20084704,19.162099,73.238148
2162,0,84.17392422,19.215959,73.240641
1461,0,89.43933344,19.311193,73.169404
1092,0,107.3266684,19.269435,73.168239
1462,0,88.37277968,18.830474,73.284483
1151,0,86.43296845,18.80171,73.322773
1152,0,90.91853875,18.442447,73.116853
2198,0,200.9247512,18.43939,73.116341
2164,2,47.77699134,17.518025,73.553956
