S.Code,WQI clf,WQI_clf_pred,latitude,longitude
1001,1,1,32.237794,77.190564
1002,2,2,31.963639,77.116392
1003,1,2,31.740194,77.207533
1004,1,1,31.669367,77.064236
1005,1,2,31.422647,76.812947
1550,1,1,31.705853,76.934903
1006,3,3,31.712408,76.933089
1007,1,1,31.83865,76.505144
1008,1,1,31.878094,76.203311
1009,2,2,31.935022,76.053444
1693,1,1,31.989016,75.832499
1694,1,2,32.111503,75.663325
1695,1,2,32.093633,75.609725
1010,1,2,32.097933,75.611474
1294,2,2,31.923867,75.541467
1011,2,2,31.51012,75.304936
1696,2,2,31.385361,75.176625
1012,2,2,31.374996,75.162691
1697,2,2,31.508844,75.307539
1867,1,1,31.804453,78.643214
1389,1,1,31.859386,77.165125
1086,1,1,31.448039,77.628283
1087,1,2,31.432236,77.622567
1013,1,2,31.247458,77.088208
1014,1,2,31.421014,76.837836
1015,1,2,31.412833,76.874881
1016,1,1,31.425772,76.421883
1017,1,1,31.380831,76.367228
1018,1,2,31.375996,76.364695
1293,2,2,30.984964,76.4672
1019,2,2,31.379027,76.372115
1380,2,2,31.356053,76.372837
1690,3,3,30.922369,75.919469
1020,3,3,30.975026,75.608293
1021,3,3,30.99775,75.371988
1381,3,3,31.01532,75.715315
1691,2,2,30.995289,74.552492
1692,2,2,30.99008,74.54847
1022,3,2,31.139816,74.936455
1089,1,1,32.555144,76.121039
1088,1,2,32.492399,76.176291
1097,2,2,32.372983,75.61039
1290,1,2,31.896167,77.147692
1090,1,1,31.701264,77.169233
1551,1,2,30.919003,76.806214
1552,2,2,30.915403,76.791131
1868,2,2,30.998567,76.738231
1869,2,2,31.365081,76.306519
1491,1,1,30.946033,78.688498
1484,3,3,30.287506,78.985451
1485,3,3,30.290028,78.979932
1486,3,3,30.285854,78.978295
1487,3,3,30.144753,78.601484
1488,3,3,30.147103,78.598107
1489,3,3,30.140504,78.597358
1060,2,2,30.115135,78.307032
1061,3,3,29.945254,78.164675
1062,3,3,28.76062,78.143766
1145,3,3,28.1897,78.395878
1063,3,3,27.138451,79.930775
1066,3,3,27.010953,79.986442
1146,3,3,26.610906,80.275419
1067,3,3,26.505542,80.314344
1068,3,3,26.436185,80.40961
1147,3,3,26.074386,81.024075
1046,3,3,25.502474,81.855439
1049,3,3,25.419206,81.900522
1070,3,3,25.289358,83.006389
1071,3,3,25.321486,83.035285
1073,3,3,25.578175,83.609594
1074,3,3,25.573508,83.966669
1077,3,3,25.650869,85.115085
1079,3,3,25.613753,85.204131
1817,3,3,25.401104,85.923198
1815,3,3,25.381441,85.987169
1818,3,3,25.384978,86.458978
1819,3,3,25.254387,86.948424
1816,3,3,25.267334,87.227318
1080,3,3,24.100312,88.244054
1472,3,3,22.761306,88.340319
1053,3,3,22.653061,88.357589
1471,3,3,22.558292,88.324394
1470,3,3,22.549717,88.296125
1052,3,3,22.453473,88.115051
1054,3,3,22.780189,88.3338
1469,3,3,22.183383,88.193783
1492,3,3,30.976465,78.438614
1493,3,3,30.932423,78.400244
1494,3,3,30.518822,77.949536
1490,3,3,30.498618,77.803498
1553,3,3,30.392244,77.572103
1554,3,3,30.465256,77.661758
1117,3,3,30.314987,77.583328
1496,3,3,30.069997,77.355057
1119,3,3,29.002116,77.023752
1120,3,3,28.85018,77.210184
1123,3,3,27.564981,77.708718
1124,3,3,27.443052,77.716133
1125,3,3,27.250657,77.861624
1498,3,3,26.932682,78.54366
1127,3,3,26.752436,79.01967
1499,3,3,26.42602,79.478799
2283,3,3,25.956967,80.157122
1069,3,3,25.422471,81.838806
1065,3,3,27.161314,79.919914
1477,3,3,29.474581,77.67095
1064,3,3,27.190822,79.818261
1350,2,2,27.572878,80.67895
1351,3,3,26.862031,80.931322
1352,3,3,26.833275,80.995211
1072,3,3,25.507856,83.158181
1353,3,3,25.751611,82.726469
1361,3,3,26.649979,80.793854
1354,3,3,26.797519,82.234306
1076,3,3,25.771153,84.654639
1483,3,3,28.635922,77.394341
1358,3,3,28.673761,77.402644
1359,3,3,24.339814,83.003589
1360,3,3,24.261214,83.009353
1078,2,3,25.675279,85.189845
1821,3,3,26.222639,84.354122
1824,3,3,26.399461,87.242477
2119,3,3,23.070703,77.536902
2121,2,2,23.141901,77.615943
2122,2,2,23.333714,77.778319
1614,2,2,23.541173,77.801938
2124,2,2,23.540606,77.802246
2125,2,2,23.550512,77.79947
1356,2,2,25.94085,80.153822
2120,2,2,23.110272,77.508595
1365,3,3,22.428806,75.508689
1366,2,2,22.428791,75.508684
1418,2,2,24.699027,75.551954
1288,2,2,25.141518,75.794083
1289,3,3,25.268768,75.906611
1609,2,2,26.660536,77.904557
1413,2,2,25.864446,76.574623
1376,3,3,26.544188,79.089502
1510,3,3,30.556089,77.777152
1607,2,2,26.429359,78.430415
1613,2,2,22.960571,77.346276
1369,3,3,23.187353,75.764282
1370,3,3,22.97582,75.917157
1468,3,3,23.211447,75.774618
1615,2,2,23.503227,77.133531
1433,2,2,26.226494,77.995516
1608,2,2,25.888006,78.337099
1075,3,3,25.5753,84.798144
1763,3,3,23.404606,88.709745
1764,3,3,23.177966,88.558164
1823,3,3,26.410836,86.237178
1735,2,2,24.651228,78.423136
2382,1,2,23.761172,86.011903
2383,2,2,23.700981,86.372953
2384,2,2,23.643092,86.464492
2391,2,2,23.681006,86.751872
1331,3,3,23.685031,86.823472
1332,3,3,23.646961,86.897068
1333,3,3,23.584399,87.103495
1334,3,3,23.429785,87.364995
1335,3,3,22.066481,88.068869
1336,3,3,23.721689,86.801628
1337,3,3,22.21835,88.024305
1946,3,3,26.739728,88.422452
2396,3,3,23.455233,85.310539
2381,2,2,23.770609,85.922067
2390,1,1,23.780586,85.876131
1260,2,2,27.687681,95.297822
1030,2,2,27.510417,94.953333
1262,2,2,26.830744,94.172775
1526,2,2,26.616375,92.82735
1031,3,3,26.176,91.68375
1299,2,3,26.214866,90.557934
2069,3,3,26.190372,91.745589
2064,2,2,26.24776,91.918205
2067,2,2,26.160268,91.56994
2066,2,3,26.015519,89.993294
1796,2,2,25.888505,93.733632
1799,2,2,26.622872,93.773159
1797,2,2,25.912708,93.743269
1800,2,3,25.802,93.606574
1798,2,2,25.910359,93.743963
1259,2,2,26.503075,93.952372
1928,2,1,25.801511,93.606777
1930,3,2,25.67564,94.109775
1929,2,2,25.752349,93.869559
1261,1,2,27.510417,94.953333
2061,1,1,27.411803,95.985028
1422,2,2,27.284622,95.662347
2062,2,2,27.321156,95.309064
2230,2,2,27.320585,95.308605
2065,2,2,26.447389,91.460667
1530,2,2,27.381964,95.622819
2063,1,1,26.759281,92.858803
2237,3,3,26.349206,92.68035
2059,2,3,26.265026,92.264751
2060,2,2,26.496268,90.652663
2058,2,2,27.141901,95.36639
1298,2,2,27.311023,95.101786
1258,1,2,26.846906,94.492244
1527,2,2,26.781058,94.208548
1531,2,2,26.848745,92.840375
1423,2,2,24.8674,92.600817
1528,3,3,26.167661,91.765289
1529,3,3,26.119297,91.647713
2068,3,3,24.648536,92.608089
1801,1,1,27.601903,88.646449
1807,1,1,27.136928,88.392222
1808,1,1,27.531575,88.515094
1809,1,1,27.532972,88.512217
1947,3,3,26.902782,88.47309
1802,1,1,27.402553,88.519402
1803,1,1,27.38805,88.622663
1804,1,1,27.309928,88.583236
1805,1,1,27.292886,88.590303
1806,1,1,27.136739,88.396831
2229,2,2,27.832518,95.672347
2231,2,2,26.975605,94.630335
2232,1,1,26.602234,93.403253
2233,1,1,27.358877,94.181102
2234,1,1,27.342717,93.816486
2235,1,1,26.699918,92.335305
2236,2,2,26.165759,92.353897
2238,1,1,26.493169,90.917841
2239,2,2,26.311379,89.831334
2240,2,2,24.786736,92.813553
2241,1,1,24.735544,92.889269
2242,1,1,24.870906,92.376439
1233,2,2,23.031056,75.210878
1232,2,2,23.648483,74.126708
1230,2,2,23.324822,73.9021
1229,2,2,23.285842,73.831736
1863,3,3,22.342298,73.052575
1864,2,3,22.254744,72.982618
1231,2,3,23.152072,73.551372
4,2,2,22.81225,73.359778
5,3,3,22.4405,73.073361
1227,2,3,23.055164,73.716378
1228,3,3,22.846264,74.291789
2102,2,2,24.05703,75.074378
2103,3,2,23.330385,75.034646
2104,3,3,23.639659,75.126136
2105,2,2,23.396067,76.291283
1866,3,3,23.090926,72.629239
1221,3,3,24.22986,73.005317
1482,3,3,23.496903,72.796265
1,3,3,24.004528,72.853278
2,3,3,22.982611,72.543139
1409,3,3,23.06353,72.589064
1408,3,3,23.031314,72.575114
1222,3,3,22.739321,72.679059
1437,3,3,22.868749,72.627351
1241,2,2,22.598638,80.371449
44,3,3,22.762685,77.71649
1240,2,2,22.948622,79.190171
1234,2,2,22.756614,77.690036
2123,2,2,22.761672,77.7185
1235,2,3,22.756584,77.687182
2106,2,2,22.496589,76.980555
2113,2,2,22.283823,76.471463
1430,2,2,22.243694,76.150756
2112,2,2,22.226413,76.045534
2099,2,2,23.124913,79.774671
45,2,2,22.177393,75.659194
1431,2,2,22.169213,75.583684
1239,2,2,22.037618,74.901793
7,2,2,21.887833,73.645444
1245,2,2,21.983722,73.456331
1244,2,2,21.950608,73.584697
1243,2,2,21.665906,72.916681
1981,1,1,21.714997,73.042891
1236,2,2,22.562555,77.978245
2114,2,3,22.168429,75.723814
2100,2,2,23.117239,79.99781
2101,2,2,23.899675,80.512005
9,1,2,21.4345,76.436556
2115,2,2,21.435417,76.436112
10,2,2,21.286389,76.222361
1250,2,2,21.264413,76.190181
1313,3,3,21.24294,76.034146
1251,3,3,21.047772,75.786357
1314,3,3,21.546291,74.466807
46,3,3,21.259844,73.565783
1247,3,3,21.247908,73.301033
47,3,3,21.284075,72.952236
1248,3,3,21.2855,72.935483
1982,3,3,21.194545,72.811552
1983,3,3,21.221618,73.170007
2071,3,3,21.148919,72.743684
1253,3,3,20.559014,74.508394
1252,3,3,20.674774,75.22279
1907,3,3,21.161624,73.793751
2070,3,3,21.461094,72.726327
2127,3,3,22.124707,78.03034
2155,3,3,20.88237,76.856618
1851,2,3,20.308614,81.917614
1264,2,2,20.652037,81.551365
1099,2,2,20.969822,81.876732
1852,2,3,21.15025,82.002864
1100,2,2,21.730837,82.565689
1282,2,2,21.728709,82.568814
1467,2,2,21.695876,83.2426
1101,2,2,21.665195,83.433435
1281,3,3,21.516358,83.851139
1270,3,3,21.455443,83.960359
1271,3,3,21.460108,83.969058
1272,3,3,20.865096,83.91172
1274,3,3,20.855331,83.904147
1275,3,3,20.612579,84.790163
1276,2,2,20.463775,85.083179
1277,3,3,20.490062,85.895865
1278,3,3,20.48147,85.893506
1639,3,3,20.268444,86.6548
1107,2,2,21.038264,80.973647
1845,2,2,21.189994,81.280092
1266,3,3,21.618808,81.695639
1265,2,2,21.248011,81.542917
1847,2,2,21.200022,81.237472
1846,2,2,21.179853,81.2545
1853,3,3,21.105793,81.579948
1105,2,2,22.380472,82.708433
1106,2,2,22.048233,82.634978
1848,2,2,22.069453,82.190639
1849,2,2,21.914789,83.404678
1850,2,2,21.911203,83.407498
1267,2,3,22.124146,84.043157
1268,3,3,21.856425,84.002419
1300,3,3,21.863911,83.947739
1269,3,3,21.828126,83.941121
1279,3,3,20.297906,85.882365
1280,3,3,20.297755,85.880734
1301,3,3,20.444394,85.890897
1640,3,3,20.546532,85.91187
1037,3,3,22.228669,84.803932
1038,3,3,20.697347,85.747603
1302,3,3,22.182883,84.847889
1039,3,3,21.820606,84.9516
1040,2,3,21.276098,85.035007
1041,3,3,21.074527,85.142032
1303,3,3,20.949817,85.216631
1042,3,3,20.867785,85.278472
1043,3,3,20.879162,85.835492
1044,3,3,20.770422,86.149638
1045,3,3,20.585906,86.568249
1033,2,2,22.865836,84.809988
2376,2,2,23.98785,84.087925
2377,1,2,24.249494,83.855053
1035,2,2,22.833734,85.130562
1034,2,2,22.460644,84.331716
1081,3,3,22.018734,85.406998
1082,3,3,21.214851,86.121323
1083,3,3,20.851312,86.33016
1084,3,3,20.774033,86.744211
1641,3,3,21.770058,87.156229
2397,1,1,23.454046,85.471177
23,3,3,23.377028,85.423056
2386,1,2,23.368919,85.875506
2385,3,3,23.33402,85.359996
1762,2,2,22.222214,86.70885
2395,1,1,23.2907,85.255961
1312,3,3,19.485317,75.370099
2177,3,3,20.022812,73.728178
2182,3,3,20.014695,74.007463
2179,3,3,20.008887,73.783052
2183,3,3,20.012385,74.113719
2181,3,3,19.98729,73.811026
2180,3,3,19.987307,73.811028
1096,3,3,20.008676,73.792361
1211,3,3,20.001568,73.795314
1095,3,3,20.048123,73.679809
2160,3,3,19.63253,75.028605
2158,3,3,19.478228,75.384879
2159,3,3,19.467269,75.397267
2161,3,3,19.360024,75.709583
12,3,3,19.226068,76.367013
1210,3,3,19.113106,77.288242
1209,3,3,18.85443,77.527475
2360,3,3,18.868297,77.962194
2361,2,2,18.838133,79.441697
2362,2,2,18.819131,79.468017
2363,3,3,18.781656,79.513558
2364,2,2,18.786369,79.521028
2356,2,2,18.727075,79.620161
2365,2,2,18.288014,80.492375
2366,2,2,18.263814,80.538533
13,2,2,18.850151,79.442839
2367,2,2,17.674897,80.883094
2368,3,3,17.655586,80.876653
2369,2,2,17.648483,80.8775
2370,2,2,17.023186,81.768181
14,2,2,17.247331,81.646613
1218,2,2,17.069466,81.711134
2371,2,2,16.958989,81.78175
1219,2,2,17.007975,81.763328
1854,2,2,18.900033,81.344044
1855,2,2,18.731275,80.278886
1856,2,2,18.888807,81.370074
2374,3,3,17.64797,78.143382
2375,3,3,17.650778,78.134958
1781,3,3,17.649043,78.118479
1891,3,3,17.951522,77.649047
1215,3,3,17.974814,79.898686
1158,2,2,18.369532,79.626751
2174,3,3,19.922574,79.113955
2156,3,3,20.062424,78.956456
1212,3,3,19.77611,79.354942
1213,2,2,21.802913,80.157861
1214,2,2,21.804398,80.157483
1910,3,3,19.731126,79.776401
2173,3,3,21.380729,79.745477
2172,3,3,21.380853,79.745595
2175,3,3,20.609867,79.857681
2176,3,3,20.610126,79.858051
11,3,3,19.715385,79.685289
1908,3,3,21.246917,79.153882
1909,3,3,21.087098,79.474422
2170,3,3,21.206788,79.246193
2171,3,3,21.209724,79.236711
1913,3,3,20.933469,76.276878
1315,3,3,20.726241,78.31758
1157,3,3,17.48468,79.107452
2373,2,2,17.616333,81.286295
1906,2,2,17.029275,74.380064
1153,2,2,16.657053,73.521386
2187,3,3,17.688548,74.063324
2188,3,3,17.688252,74.063303
2190,3,3,17.949284,73.891316
1194,3,3,17.981764,73.795456
36,3,3,17.295256,74.188776
1310,2,2,16.681396,74.590278
37,2,2,16.824045,74.64951
1182,3,3,16.640864,74.821308
1889,3,3,16.5575,74.679717
1181,2,2,16.242436,76.370678
1028,2,2,16.369172,76.656647
1170,3,3,16.380508,77.362725
1784,3,3,16.424222,77.278883
39,3,3,16.338826,77.610192
1175,3,3,16.001874,78.364986
1465,3,3,16.694675,79.689933
1786,2,2,16.801875,80.129553
1787,2,2,16.582608,80.343451
25,2,2,16.492476,80.640839
1782,2,2,16.000123,81.079082
1311,2,2,16.746155,74.445716
2163,2,2,16.721492,74.594819
1904,2,2,16.688467,74.169462
1905,2,2,16.695477,74.274998
1189,3,3,18.481871,73.829569
1190,3,3,18.54325,73.885036
1191,3,3,18.560303,74.37332
1192,3,3,18.464553,74.583576
1188,3,3,17.985845,75.116249
28,3,3,17.703734,75.544604
1183,3,3,17.179219,76.566603
1184,3,3,17.069328,76.794283
1888,3,3,17.043481,76.814478
1167,3,3,16.7341,77.130744
1185,2,2,16.328103,75.268333
1163,3,3,16.174961,74.822508
1187,3,3,15.633431,74.510322
1164,2,2,15.797983,75.191492
1186,3,3,16.009319,75.878022
2195,3,3,18.103405,74.234805
1463,3,3,18.172703,73.953644
2186,3,3,17.732719,73.991512
2189,3,3,17.278589,74.183705
2194,3,3,18.5746,73.836055
2193,3,3,18.567737,73.811752
2192,3,3,18.535371,73.933306
2191,3,3,18.532374,73.843415
2196,3,3,18.670292,73.681639
2197,3,3,18.682216,73.900116
38,2,2,14.236122,75.659356
1029,2,2,14.325397,75.771092
29,3,3,15.494844,76.692417
1785,3,3,15.944453,77.419709
1174,3,3,15.8483,78.034942
1168,2,2,13.926464,75.583336
1896,2,2,14.011333,75.676667
1091,2,2,13.003125,77.565306
1387,3,3,13.832272,75.713164
1169,3,3,13.989311,75.683736
1172,2,2,17.370422,78.472561
1173,3,3,17.370097,78.469786
2339,3,3,17.382722,78.557775
1178,2,2,16.951698,80.048401
1177,2,2,16.670823,80.297751
1911,3,3,17.724868,75.323936
1912,3,3,17.677706,75.339011
1895,3,3,17.107483,76.955311
2350,3,3,15.819061,78.056866
2351,3,3,15.49,78.4748
2372,2,2,17.224489,80.127061
1255,3,3,14.150574,77.822711
1256,3,3,14.572795,78.79715
1257,2,2,14.481442,79.290142
30,2,2,14.464393,78.964627
1198,2,2,12.314149,75.698522
1195,2,2,12.448489,75.96987
33,2,2,12.425291,76.57265
1386,2,2,12.418187,76.679259
1171,3,3,12.423705,76.693672
34,2,2,12.25531,77.163515
50,2,2,11.796255,77.806971
1322,3,3,11.445663,77.677626
51,3,3,11.368215,77.741107
1320,3,3,11.335795,77.753762
1323,2,2,11.18,78.01
1324,2,2,11.064392,78.120358
1451,2,2,11.050024,78.120645
31,2,2,10.955345,78.443949
1202,2,2,10.833263,78.718224
1325,2,2,10.766809,78.665272
1203,3,3,10.830327,78.81177
1206,3,3,11.34,79.24
1326,2,3,11.326822,79.702981
1327,3,3,11.418828,79.772375
1893,2,2,13.006814,76.099553
1199,2,2,12.809694,76.205642
1200,2,2,12.979108,76.851622
1166,2,2,12.422764,77.226144
1165,3,2,12.535417,77.424792
1196,3,3,12.302189,76.286164
1207,1,1,11.697858,76.397006
1197,2,2,12.019853,76.388075
41,2,2,12.166761,76.792908
1445,3,2,12.128439,76.683919
1208,1,1,11.197053,76.722381
1201,2,2,11.469259,77.296165
1204,2,2,11.319948,77.011429
1321,2,2,11.485294,77.134603
1319,2,2,10.541244,77.368656
1205,2,2,11.454094,77.679567
1393,2,2,0.0,0.0
1150,2,2,20.358825,72.881708
1246,3,3,20.371433,72.881108
1860,3,3,21.223442,72.89572
1861,3,3,20.980464,73.016757
1862,3,3,20.756033,73.066786
1865,3,3,22.023279,70.368724
1148,3,3,20.772106,72.951625
1149,3,3,20.461511,72.886556
1435,3,3,20.342461,72.905403
1438,3,3,21.111549,73.111601
1436,3,3,21.763115,70.424313
2072,3,3,22.715528,71.672688
1399,2,2,15.2715,74.08885
1475,2,2,15.281044,74.071108
1476,3,3,15.550258,73.949164
1400,2,2,15.499719,73.834744
1543,2,2,15.74629,73.899494
1544,2,2,15.561455,73.990584
1545,2,2,15.536364,74.148515
2270,2,2,15.410589,74.054325
1546,2,2,15.466425,74.038825
1547,2,2,14.98929,74.04736
1548,2,2,15.615148,73.900658
2271,2,2,15.188883,73.995911
2272,3,3,15.232069,74.149461
2274,2,2,15.608275,73.836869
2275,2,2,15.700331,73.904347
2276,3,3,15.590815,73.952907
1093,3,3,19.245652,73.156487
1094,3,3,19.162099,73.238148
2162,3,3,19.215959,73.240641
1461,3,3,19.311193,73.169404
1092,3,3,19.269435,73.168239
1462,3,3,18.830474,73.284483
1151,3,3,18.80171,73.322773
1152,3,3,18.442447,73.116853
2198,3,3,18.43939,73.116341
